filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_59.npz,1.437785,1.437784,0.046112,0.046112,138.784745,138.784898,0.304319,0.304360,0.023200,0.023200,0.000088,0.000088,0.003307,0.002800,0.000058,0.000077
processed_data_batch_60.npz,1.437387,1.437279,0.062089,0.062151,138.970379,139.001107,0.530118,0.724345,0.023227,0.023209,0.000246,0.000158,0.003371,0.002874,0.000537,0.000625
processed_data_batch_61.npz,1.435949,1.435948,0.055265,0.055266,139.174761,139.174944,0.335359,0.335391,0.023223,0.023222,0.000096,0.000096,0.003301,0.002780,0.000062,0.000071
processed_data_batch_62.npz,1.428042,1.427982,0.059847,0.059830,139.210933,139.226451,0.507526,0.556788,0.023241,0.023232,0.000254,0.000233,0.003377,0.002880,0.000530,0.000577
processed_data_batch_63.npz,1.427774,1.427765,0.072347,0.072360,139.261596,139.263345,0.598702,0.582619,0.023274,0.023273,0.000100,0.000097,0.003324,0.002810,0.000211,0.000293
processed_data_batch_64.npz,1.423148,1.423009,0.065170,0.065150,139.403252,139.442386,1.206580,1.440504,0.023282,0.023258,0.000287,0.000380,0.003398,0.002898,0.000897,0.000906
processed_data_batch_65.npz,1.430767,1.430766,0.046828,0.046828,139.354775,139.354932,0.316663,0.316676,0.023271,0.023271,0.000099,0.000099,0.003308,0.002787,0.000063,0.000072
processed_data_batch_66.npz,1.428825,1.428616,0.055172,0.055099,139.436043,139.490681,0.764540,1.021099,0.023281,0.023248,0.000263,0.000383,0.003362,0.002870,0.000483,0.000603
processed_data_batch_67.npz,1.431636,1.431627,0.061375,0.061371,139.389778,139.391311,1.022082,1.006017,0.023282,0.023281,0.000107,0.000104,0.003366,0.002867,0.000667,0.000761
processed_data_batch_68.npz,1.418732,1.418638,0.073296,0.073235,139.538155,139.565068,1.346863,1.667416,0.023241,0.023225,0.000494,0.000691,0.003388,0.002862,0.001124,0.001041
processed_data_batch_69.npz,1.422621,1.422620,0.065143,0.065143,139.500656,139.500803,0.354536,0.354532,0.023261,0.023261,0.000097,0.000097,0.003310,0.002789,0.000103,0.000116
