filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_32.npz,150,150,74,76,0,0.022718,0.022724,0.000074,0.000074,1.445767,1.449660,0.042974,0.038778,0.003311,0.003307,0.000061,0.000062,139.683350,139.669350,0.267755,0.269605
processed_data_batch_33.npz,150,150,83,67,0,0.022704,0.022709,0.000082,0.000082,1.458224,1.449771,0.038912,0.047748,0.003300,0.003300,0.000064,0.000061,139.695145,139.678742,0.213050,0.227174
processed_data_batch_34.npz,150,150,94,56,0,0.022721,0.022708,0.000091,0.000104,1.451305,1.450062,0.039517,0.042307,0.003317,0.003351,0.000162,0.000510,139.667105,139.702814,0.406165,0.655651
processed_data_batch_35.npz,150,150,92,58,0,0.022709,0.022711,0.000087,0.000081,1.442718,1.443812,0.044781,0.046902,0.003314,0.003315,0.000060,0.000063,139.608353,139.603412,0.301409,0.290925
processed_data_batch_36.npz,150,150,78,72,0,0.022679,0.022673,0.000083,0.000077,1.453952,1.447953,0.040734,0.049701,0.003305,0.003301,0.000067,0.000065,139.599815,139.571107,0.272019,0.261644
processed_data_batch_37.npz,150,150,73,77,0,0.022686,0.022690,0.000085,0.000106,1.453498,1.449767,0.036628,0.039082,0.003374,0.003418,0.000323,0.000682,139.592721,139.598470,0.588241,1.042151
processed_data_batch_38.npz,150,150,75,75,0,0.022686,0.022688,0.000083,0.000095,1.452276,1.454097,0.035624,0.035583,0.003307,0.003348,0.000062,0.000509,139.505944,139.395424,0.308880,0.984727
processed_data_batch_39.npz,150,150,77,73,0,0.022719,0.022720,0.000075,0.000077,1.450722,1.456554,0.041723,0.037495,0.003302,0.003298,0.000069,0.000065,139.461436,139.466550,0.248033,0.262036
processed_data_batch_40.npz,150,150,68,82,0,0.022697,0.022700,0.000096,0.000133,1.448237,1.443280,0.047853,0.060866,0.003309,0.003432,0.000067,0.000933,139.408155,139.435836,0.367504,1.391422
processed_data_batch_41.npz,150,150,86,64,0,0.022717,0.022723,0.000080,0.000092,1.455680,1.452126,0.029046,0.032723,0.003326,0.003344,0.000077,0.000305,139.283789,139.355454,0.350999,0.529011
processed_data_batch_42.npz,150,150,85,65,0,0.022733,0.022733,0.000079,0.000081,1.434370,1.436863,0.076413,0.071612,0.003301,0.003302,0.000065,0.000060,139.212425,139.228981,0.286367,0.288588
processed_data_batch_43.npz,150,150,87,63,0,0.022736,0.022737,0.000083,0.000104,1.443476,1.446389,0.052926,0.047123,0.003337,0.003398,0.000207,0.000758,139.137960,139.198892,0.487052,1.034980
processed_data_batch_44.npz,150,150,85,65,0,0.022767,0.022766,0.000080,0.000078,1.455183,1.452133,0.031322,0.038245,0.003319,0.003321,0.000065,0.000106,138.836025,138.862582,0.291749,0.352184
processed_data_batch_45.npz,150,150,73,77,0,0.022744,0.022740,0.000095,0.000092,1.450532,1.447745,0.033079,0.034301,0.003314,0.003306,0.000065,0.000065,138.623100,138.627814,0.261751,0.263634
