filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_70.npz,150,150,86,64,0,0.022950,0.022945,0.000082,0.000079,1.417643,1.416288,0.058469,0.058588,0.003278,0.003279,0.000065,0.000063,139.733125,139.720758,0.232593,0.229783
processed_data_batch_71.npz,150,150,83,67,0,0.022874,0.022869,0.000092,0.000094,1.420797,1.422693,0.071000,0.061177,0.003305,0.003319,0.000085,0.000243,139.656887,139.699821,0.303544,0.481522
processed_data_batch_72.npz,150,150,78,72,0,0.022872,0.022870,0.000077,0.000076,1.433671,1.429534,0.044240,0.046042,0.003291,0.003287,0.000057,0.000057,139.734192,139.724928,0.287219,0.284308
processed_data_batch_73.npz,150,150,78,72,0,0.022889,0.022901,0.000083,0.000110,1.424074,1.427826,0.079769,0.065531,0.003304,0.003444,0.000078,0.001323,139.720174,139.627925,0.231922,1.001268
processed_data_batch_74.npz,150,150,80,70,0,0.022956,0.022954,0.000066,0.000071,1.429545,1.425644,0.045800,0.057239,0.003300,0.003296,0.000063,0.000068,139.740244,139.740569,0.250973,0.275061
processed_data_batch_75.npz,150,150,74,76,0,0.023033,0.023022,0.000095,0.000096,1.410932,1.412751,0.077362,0.073192,0.003303,0.003361,0.000105,0.000397,139.681557,139.673903,0.399894,0.655816
processed_data_batch_76.npz,150,150,78,72,0,0.023107,0.023105,0.000087,0.000092,1.432888,1.427023,0.044828,0.049128,0.003298,0.003296,0.000059,0.000060,139.703732,139.716251,0.232825,0.239401
processed_data_batch_77.npz,150,150,83,67,0,0.023082,0.023075,0.000081,0.000101,1.429455,1.426443,0.054503,0.054934,0.003288,0.003366,0.000064,0.000516,139.820949,139.646281,0.265227,0.984940
processed_data_batch_78.npz,150,150,79,71,0,0.023097,0.023103,0.000068,0.000071,1.425408,1.430305,0.051502,0.047283,0.003293,0.003295,0.000064,0.000057,139.768234,139.758785,0.220642,0.242543
processed_data_batch_79.npz,150,150,80,70,0,0.023103,0.023089,0.000083,0.000085,1.431096,1.424700,0.047107,0.053369,0.003290,0.003348,0.000055,0.000462,139.770923,139.797477,0.263459,0.868425
processed_data_batch_80.npz,150,150,90,60,0,0.023080,0.023075,0.000070,0.000076,1.431289,1.430371,0.043464,0.044708,0.003304,0.003312,0.000060,0.000190,139.780311,139.824246,0.282000,0.524779
processed_data_batch_81.npz,150,150,87,63,0,0.023105,0.023104,0.000084,0.000079,1.427406,1.429363,0.064440,0.058016,0.003298,0.003333,0.000062,0.000304,139.812141,139.842771,0.273342,0.520548
processed_data_batch_82.npz,150,150,79,71,0,0.023074,0.023066,0.000068,0.000079,1.419539,1.422326,0.052410,0.050679,0.003313,0.003339,0.000154,0.000416,139.815841,139.793030,0.230060,0.590751
processed_data_batch_83.npz,150,150,79,71,0,0.023080,0.023078,0.000093,0.000117,1.436949,1.434149,0.038468,0.046062,0.003307,0.003371,0.000058,0.000840,139.813528,139.875455,0.267964,1.064922
processed_data_batch_84.npz,150,150,87,63,0,0.023076,0.023085,0.000083,0.000093,1.431880,1.427065,0.060578,0.064235,0.003303,0.003351,0.000055,0.000422,139.734683,139.693271,0.268376,0.722978
processed_data_batch_85.npz,150,150,78,72,0,0.023282,0.023294,0.000121,0.000116,1.417116,1.419660,0.062169,0.059591,0.003300,0.003361,0.000068,0.000779,139.747309,139.771510,0.216400,0.608514
processed_data_batch_86.npz,150,150,89,61,0,0.023578,0.023577,0.000088,0.000091,1.429203,1.431143,0.046069,0.048702,0.003307,0.003304,0.000060,0.000061,139.676698,139.673419,0.267374,0.262852
processed_data_batch_87.npz,150,150,87,63,0,0.023580,0.023578,0.000067,0.000095,1.435998,1.429728,0.050112,0.051166,0.003307,0.003379,0.000060,0.000608,139.679336,139.673569,0.229108,0.749793
processed_data_batch_88.npz,150,150,74,76,0,0.023614,0.023606,0.000078,0.000094,1.424319,1.427017,0.054894,0.054940,0.003299,0.003352,0.000060,0.000639,139.758339,139.797522,0.236311,0.492751
processed_data_batch_89.npz,150,150,81,69,0,0.023603,0.023586,0.000062,0.000090,1.435695,1.430162,0.048697,0.054294,0.003296,0.003347,0.000058,0.000529,139.803458,139.860601,0.262369,0.629228
processed_data_batch_90.npz,150,150,76,74,0,0.023635,0.023612,0.000062,0.000113,1.440059,1.436955,0.049290,0.059587,0.003292,0.003443,0.000058,0.001138,139.799259,139.871348,0.255484,1.180610
processed_data_batch_91.npz,150,150,85,65,0,0.023645,0.023653,0.000100,0.000094,1.423058,1.424624,0.068127,0.062428,0.003319,0.003318,0.000109,0.000191,139.785018,139.752771,0.347390,0.431810
processed_data_batch_92.npz,150,150,87,63,0,0.023590,0.023597,0.000076,0.000076,1.434411,1.435707,0.042013,0.048006,0.003320,0.003319,0.000073,0.000098,139.803320,139.814989,0.299382,0.276467
processed_data_batch_93.npz,150,150,81,69,0,0.023567,0.023570,0.000084,0.000080,1.432772,1.433723,0.049447,0.047787,0.003306,0.003321,0.000065,0.000172,139.818447,139.827186,0.272149,0.433380
processed_data_batch_94.npz,150,150,80,70,0,0.023515,0.023510,0.000091,0.000089,1.434080,1.435366,0.040936,0.042810,0.003305,0.003436,0.000068,0.000890,139.829687,139.792178,0.287158,0.584935
processed_data_batch_95.npz,150,150,84,66,0,0.023407,0.023396,0.000085,0.000084,1.434985,1.432616,0.051077,0.060150,0.003312,0.003354,0.000054,0.000469,139.828261,139.803635,0.222967,0.330558
processed_data_batch_96.npz,150,150,84,66,0,0.023448,0.023451,0.000137,0.000144,1.437003,1.430852,0.055164,0.067482,0.003306,0.003334,0.000063,0.000217,139.785296,139.867857,0.274288,0.599749
processed_data_batch_97.npz,150,150,91,59,0,0.023677,0.023675,0.000095,0.000090,1.428338,1.424644,0.061748,0.062404,0.003324,0.003316,0.000126,0.000107,139.750960,139.787329,0.379568,0.334215
processed_data_batch_98.npz,150,150,83,67,0,0.023597,0.023596,0.000076,0.000083,1.442031,1.438634,0.037339,0.046580,0.003307,0.003302,0.000065,0.000059,139.875857,139.874381,0.253304,0.259408
processed_data_batch_99.npz,150,150,81,69,0,0.023474,0.023473,0.000097,0.000110,1.432096,1.434256,0.055025,0.050223,0.003310,0.003350,0.000061,0.000536,139.830756,139.765492,0.265590,0.724134
processed_data_batch_100.npz,150,150,78,72,0,0.023363,0.023364,0.000079,0.000087,1.430380,1.428664,0.059998,0.060990,0.003318,0.003355,0.000057,0.000373,139.765995,139.774576,0.230561,0.683072
processed_data_batch_101.npz,150,150,81,69,0,0.023410,0.023429,0.000079,0.000081,1.447249,1.437820,0.032362,0.045920,0.003318,0.003312,0.000062,0.000063,139.798453,139.818058,0.238729,0.240232
