filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_59.npz,150,150,80,70,0,0.023201,0.023195,0.000082,0.000083,1.437630,1.437785,0.038381,0.046112,0.003281,0.003283,0.000058,0.000058,138.783566,138.786075,0.327205,0.302138
processed_data_batch_60.npz,150,150,86,64,0,0.023198,0.023218,0.000125,0.000223,1.439405,1.437387,0.049780,0.062089,0.003284,0.003344,0.000077,0.000516,138.943727,138.973343,0.364797,0.534988
processed_data_batch_61.npz,150,150,82,68,0,0.023205,0.023219,0.000087,0.000090,1.427473,1.435949,0.066643,0.055265,0.003276,0.003276,0.000055,0.000061,139.205550,139.175399,0.313149,0.332861
processed_data_batch_62.npz,150,150,68,82,0,0.023218,0.023232,0.000140,0.000231,1.421920,1.428042,0.066471,0.059847,0.003294,0.003351,0.000075,0.000510,139.224257,139.213920,0.325019,0.513193
processed_data_batch_63.npz,150,150,87,63,0,0.023258,0.023268,0.000086,0.000094,1.435945,1.427774,0.046456,0.072347,0.003283,0.003298,0.000058,0.000202,139.331851,139.263270,0.341505,0.596213
processed_data_batch_64.npz,150,150,88,62,0,0.023271,0.023277,0.000107,0.000261,1.424195,1.423148,0.061466,0.065170,0.003273,0.003370,0.000063,0.000863,139.294055,139.404695,0.327816,1.201466
processed_data_batch_65.npz,150,150,86,64,0,0.023260,0.023265,0.000096,0.000094,1.428405,1.430767,0.049448,0.046828,0.003288,0.003284,0.000061,0.000061,139.332541,139.356582,0.298074,0.315204
processed_data_batch_66.npz,150,150,82,68,0,0.023293,0.023276,0.000090,0.000238,1.430160,1.428825,0.045313,0.055172,0.003287,0.003334,0.000065,0.000465,139.386301,139.437483,0.307356,0.757740
processed_data_batch_67.npz,150,150,86,64,0,0.023273,0.023275,0.000095,0.000101,1.425741,1.431636,0.071710,0.061375,0.003272,0.003339,0.000063,0.000641,139.518371,139.391640,0.350467,1.020766
processed_data_batch_68.npz,150,150,92,58,0,0.023269,0.023238,0.000091,0.000445,1.426643,1.418732,0.064840,0.073296,0.003272,0.003361,0.000062,0.001088,139.436564,139.538851,0.311907,1.327516
processed_data_batch_69.npz,150,150,68,82,0,0.023252,0.023257,0.000095,0.000091,1.425976,1.422621,0.050764,0.065143,0.003283,0.003285,0.000069,0.000099,139.521601,139.501680,0.334129,0.352920
processed_data_batch_70.npz,150,150,86,64,0,0.023306,0.023307,0.000087,0.000086,1.418036,1.416771,0.058439,0.058616,0.003271,0.003271,0.000063,0.000061,139.563750,139.536809,0.304935,0.296452
processed_data_batch_71.npz,150,150,81,69,0,0.023239,0.023232,0.000125,0.000134,1.420802,1.423129,0.071748,0.061299,0.003297,0.003309,0.000075,0.000230,139.476781,139.524275,0.341135,0.617856
processed_data_batch_72.npz,150,150,76,74,0,0.023231,0.023234,0.000094,0.000095,1.433804,1.430022,0.044608,0.046093,0.003284,0.003279,0.000055,0.000057,139.565427,139.541147,0.350865,0.359675
processed_data_batch_73.npz,150,150,80,70,0,0.023261,0.023294,0.000096,0.000355,1.423629,1.428890,0.079053,0.065696,0.003294,0.003414,0.000077,0.001097,139.522736,139.365553,0.287791,1.700365
processed_data_batch_74.npz,150,150,79,71,0,0.023326,0.023319,0.000069,0.000078,1.429042,1.426147,0.051620,0.057251,0.003294,0.003288,0.000061,0.000067,139.560827,139.554357,0.297061,0.339560
processed_data_batch_75.npz,150,150,73,77,0,0.023388,0.023377,0.000128,0.000160,1.410777,1.413086,0.078131,0.073405,0.003293,0.003344,0.000080,0.000360,139.527684,139.516778,0.340858,0.532070
processed_data_batch_76.npz,150,150,77,73,0,0.023471,0.023469,0.000098,0.000105,1.433578,1.427530,0.045266,0.049120,0.003292,0.003288,0.000060,0.000058,139.511691,139.529591,0.308575,0.302130
processed_data_batch_77.npz,150,150,82,68,0,0.023453,0.023426,0.000094,0.000209,1.430155,1.426778,0.054895,0.054699,0.003279,0.003342,0.000062,0.000455,139.611123,139.491203,0.315858,0.939051
processed_data_batch_78.npz,150,150,77,73,0,0.023458,0.023467,0.000082,0.000085,1.427332,1.430823,0.050025,0.047312,0.003283,0.003287,0.000063,0.000056,139.595485,139.570606,0.277163,0.314936
processed_data_batch_79.npz,150,150,75,75,0,0.023468,0.023452,0.000101,0.000151,1.431092,1.425141,0.048659,0.053137,0.003286,0.003332,0.000054,0.000407,139.568773,139.617910,0.312301,0.608306
processed_data_batch_80.npz,150,150,86,64,0,0.023461,0.023449,0.000082,0.000089,1.432217,1.431029,0.043604,0.044707,0.003295,0.003302,0.000058,0.000185,139.549827,139.611437,0.339829,0.509616
processed_data_batch_81.npz,150,150,84,66,0,0.023466,0.023482,0.000091,0.000142,1.426647,1.430050,0.065249,0.057956,0.003294,0.003317,0.000060,0.000219,139.631058,139.624800,0.322356,0.339927
processed_data_batch_82.npz,150,150,78,72,0,0.023443,0.023422,0.000086,0.000190,1.420627,1.422609,0.052941,0.050485,0.003303,0.003319,0.000153,0.000276,139.620395,139.639178,0.276952,0.314821
processed_data_batch_83.npz,150,150,78,72,0,0.023446,0.023441,0.000104,0.000205,1.438512,1.434619,0.037716,0.046238,0.003296,0.003359,0.000060,0.000804,139.636971,139.700276,0.299776,1.395827
processed_data_batch_84.npz,150,150,84,66,0,0.023446,0.023458,0.000102,0.000126,1.437931,1.427723,0.034265,0.064108,0.003294,0.003340,0.000053,0.000411,139.541744,139.483522,0.299653,0.785829
processed_data_batch_85.npz,150,150,78,72,0,0.023648,0.023641,0.000135,0.000281,1.418134,1.419931,0.060584,0.059360,0.003291,0.003340,0.000066,0.000634,139.546318,139.627168,0.281218,1.133410
processed_data_batch_86.npz,150,150,90,60,0,0.023941,0.023937,0.000105,0.000104,1.429333,1.431655,0.046589,0.048734,0.003300,0.003296,0.000057,0.000059,139.489681,139.487828,0.318412,0.313261
processed_data_batch_87.npz,150,150,85,65,0,0.023941,0.023921,0.000083,0.000217,1.436160,1.429954,0.050828,0.051550,0.003299,0.003356,0.000057,0.000499,139.489390,139.538212,0.262778,0.626934
processed_data_batch_88.npz,150,150,70,80,0,0.023973,0.023946,0.000094,0.000233,1.425254,1.427236,0.054631,0.054745,0.003292,0.003337,0.000061,0.000543,139.572826,139.663230,0.282157,0.889651
processed_data_batch_89.npz,150,150,79,71,0,0.023967,0.023943,0.000074,0.000143,1.438258,1.430644,0.045941,0.054395,0.003288,0.003337,0.000057,0.000508,139.597982,139.682976,0.308872,0.836955
processed_data_batch_90.npz,150,150,76,74,0,0.023990,0.023933,0.000084,0.000326,1.439885,1.436962,0.049174,0.059765,0.003285,0.003417,0.000058,0.001031,139.613121,139.784440,0.336040,1.680263
processed_data_batch_91.npz,150,150,83,67,0,0.023990,0.023998,0.000153,0.000141,1.423555,1.424899,0.067897,0.062352,0.003307,0.003307,0.000082,0.000165,139.642249,139.605621,0.304921,0.342681
processed_data_batch_92.npz,150,150,85,65,0,0.023954,0.023957,0.000103,0.000097,1.434865,1.436195,0.042371,0.047914,0.003310,0.003311,0.000067,0.000095,139.615251,139.632438,0.320827,0.311537
processed_data_batch_93.npz,150,150,79,71,0,0.023934,0.023933,0.000121,0.000120,1.432732,1.434300,0.049930,0.047819,0.003302,0.003309,0.000068,0.000133,139.643674,139.632128,0.314379,0.343442
processed_data_batch_94.npz,150,150,80,70,0,0.023869,0.023863,0.000108,0.000209,1.434693,1.435739,0.041356,0.042643,0.003297,0.003417,0.000066,0.000841,139.659771,139.634026,0.344593,0.755771
processed_data_batch_95.npz,150,150,81,69,0,0.023777,0.023763,0.000092,0.000159,1.433595,1.433138,0.053278,0.060090,0.003303,0.003340,0.000053,0.000420,139.621157,139.612794,0.262539,0.433686
processed_data_batch_96.npz,150,150,82,68,0,0.023822,0.023830,0.000144,0.000154,1.440218,1.431632,0.050753,0.067347,0.003299,0.003323,0.000062,0.000213,139.587911,139.635716,0.338517,0.586734
processed_data_batch_97.npz,150,150,91,59,0,0.024028,0.024030,0.000153,0.000134,1.428881,1.425042,0.061766,0.062371,0.003312,0.003304,0.000089,0.000081,139.594842,139.618168,0.315772,0.306880
processed_data_batch_98.npz,150,150,83,67,0,0.023950,0.023952,0.000092,0.000095,1.443193,1.439088,0.037175,0.046693,0.003302,0.003295,0.000063,0.000058,139.699657,139.699247,0.326815,0.322500
processed_data_batch_99.npz,150,150,79,71,0,0.023831,0.023844,0.000110,0.000178,1.431979,1.435007,0.055442,0.050368,0.003302,0.003337,0.000061,0.000474,139.648722,139.548267,0.295160,0.980922
processed_data_batch_100.npz,150,150,76,74,0,0.023726,0.023731,0.000093,0.000192,1.432447,1.429239,0.059709,0.060719,0.003309,0.003334,0.000056,0.000281,139.597407,139.577038,0.291336,0.400029
processed_data_batch_101.npz,150,150,82,68,0,0.023772,0.023789,0.000092,0.000088,1.447192,1.438254,0.032742,0.045912,0.003311,0.003305,0.000062,0.000063,139.622456,139.644351,0.284291,0.284676
