filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC,tau_mean_robust,tau_std_robust,tau_mean_robust_QC,tau_std_robust_QC
resampled_data_batch_77.npz,2,139.666700,0.977725,139.501680,0.932281,139.815886,0.391458,139.631022,0.308786,139.506774,0.914259,139.632760,0.304479
resampled_data_batch_78.npz,2,139.775125,0.240798,139.580721,0.310991,139.797665,0.207109,139.600778,0.272104,139.582326,0.298196,139.602590,0.260131
resampled_data_batch_79.npz,2,139.815440,0.861159,139.628412,0.610661,139.786304,0.259155,139.580626,0.305154,139.631283,0.645368,139.579719,0.293215
resampled_data_batch_80.npz,2,139.841980,0.515360,139.622703,0.505643,139.797507,0.283180,139.567096,0.336678,139.629945,0.533684,139.573530,0.330017
resampled_data_batch_81.npz,2,139.864334,0.515317,139.637388,0.338773,139.837243,0.268038,139.649975,0.316867,139.633588,0.313523,139.650930,0.311333
resampled_data_batch_82.npz,2,139.810298,0.593164,139.648583,0.316446,139.753134,0.781193,139.646392,0.281153,139.652241,0.284983,139.645907,0.267442
resampled_data_batch_83.npz,2,139.892361,1.048883,139.710021,1.378376,139.826046,0.268716,139.640829,0.303458,139.693350,1.143428,139.643441,0.295862
resampled_data_batch_84.npz,2,139.717046,0.716025,139.496524,0.779796,139.765177,0.267346,139.562669,0.300119,139.507658,0.747584,139.564160,0.286980
resampled_data_batch_85.npz,2,139.788270,0.601274,139.635925,1.112688,139.768600,0.215474,139.549228,0.276349,139.615417,0.845065,139.560342,0.265710
resampled_data_batch_86.npz,2,139.694960,0.260108,139.499603,0.309316,139.696110,0.266544,139.495369,0.313505,139.502295,0.297063,139.500485,0.303384
resampled_data_batch_87.npz,2,139.695401,0.751979,139.549294,0.622156,139.703174,0.228819,139.502403,0.259124,139.547109,0.516641,139.503448,0.254199
resampled_data_batch_88.npz,2,139.814638,0.484078,139.672336,0.872927,139.778571,0.231138,139.591144,0.280008,139.655169,0.680607,139.595303,0.272958
resampled_data_batch_89.npz,2,139.881430,0.615807,139.694243,0.824216,139.835150,0.264037,139.611725,0.300955,139.690925,0.743201,139.625975,0.302030
resampled_data_batch_90.npz,2,139.891042,1.163429,139.792973,1.654683,139.829653,0.259875,139.635049,0.339440,139.733384,1.235173,139.638725,0.325139
resampled_data_batch_91.npz,2,139.771137,0.431645,139.615649,0.341120,139.798081,0.354868,139.652070,0.301358,139.612984,0.339136,139.650468,0.290621
resampled_data_batch_92.npz,2,139.833423,0.273135,139.643244,0.307471,139.823177,0.297126,139.634299,0.316725,139.644458,0.303175,139.635879,0.314625
resampled_data_batch_93.npz,2,139.847950,0.432940,139.643899,0.342477,139.851958,0.263963,139.660922,0.307967,139.644404,0.335353,139.664579,0.302073
resampled_data_batch_94.npz,2,139.811409,0.583780,139.644207,0.745417,139.844321,0.292090,139.667840,0.342552,139.647781,0.466084,139.671844,0.335268
resampled_data_batch_95.npz,2,139.824761,0.329950,139.624491,0.426576,139.847470,0.223153,139.634138,0.259502,139.650517,0.272351,139.639458,0.253686
resampled_data_batch_96.npz,2,139.887727,0.594895,139.647910,0.583240,139.802899,0.271608,139.583712,0.331045,139.653116,0.574957,139.585710,0.320071
resampled_data_batch_97.npz,2,139.803887,0.334984,139.628183,0.304164,139.768728,0.382591,139.605289,0.313247,139.629288,0.291536,139.606510,0.297626
resampled_data_batch_98.npz,2,139.895319,0.255267,139.710965,0.318196,139.898227,0.254308,139.719180,0.325900,139.712876,0.306911,139.718467,0.315346
resampled_data_batch_99.npz,2,139.785650,0.711122,139.560032,0.968840,139.847471,0.250268,139.666955,0.294019,139.574825,0.832456,139.659844,0.287781
resampled_data_batch_100.npz,2,139.794120,0.686428,139.588668,0.403477,139.770130,0.279471,139.598457,0.292095,139.589334,0.377913,139.598741,0.281367
resampled_data_batch_101.npz,2,139.836800,0.237899,139.655017,0.281110,139.826048,0.240657,139.652436,0.286450,139.652848,0.275095,139.650434,0.277940
resampled_data_batch_1.npz,3,139.364311,2.068477,139.191684,2.335125,139.580760,0.469060,139.373451,0.272559,139.255227,1.772685,139.376920,0.273393
resampled_data_batch_2.npz,3,139.983472,0.241555,139.744425,0.307918,140.013277,0.225795,139.777625,0.288353,139.746126,0.296766,139.779949,0.277213
resampled_data_batch_3.npz,3,139.674257,0.209726,139.407202,0.277823,139.682048,0.206146,139.421208,0.279075,139.405521,0.268547,139.417928,0.270795
resampled_data_batch_4.npz,3,139.757288,0.276550,139.461095,0.349557,139.777557,0.279459,139.490824,0.371928,139.466355,0.335885,139.505337,0.347577
resampled_data_batch_5.npz,3,140.052625,0.156173,139.812492,0.205516,140.055254,0.155269,139.813921,0.199525,139.812294,0.192186,139.818659,0.187987
resampled_data_batch_6.npz,3,139.892765,0.198700,139.646223,0.256825,139.905105,0.214654,139.646648,0.274693,139.645832,0.246727,139.645204,0.266077
resampled_data_batch_7.npz,3,139.885718,0.220721,139.632603,0.276746,139.880314,0.211977,139.623829,0.262152,139.630485,0.265656,139.620425,0.249805
resampled_data_batch_8.npz,3,139.764292,0.276022,139.517677,0.325629,139.778539,0.283385,139.517594,0.332234,139.514994,0.312337,139.514885,0.319556
resampled_data_batch_9.npz,3,140.083377,0.188925,139.857364,0.239983,140.084044,0.192603,139.858768,0.245403,139.855907,0.234609,139.857317,0.241630
resampled_data_batch_10.npz,3,139.852085,0.217862,139.614826,0.292231,139.830750,0.228121,139.589398,0.286213,139.608482,0.284086,139.581873,0.281668
resampled_data_batch_11.npz,3,139.799535,0.749954,139.502354,1.016881,139.900346,0.419068,139.599204,0.327674,139.518597,0.863567,139.600773,0.317386
resampled_data_batch_12.npz,3,139.410917,1.639987,139.300594,0.938744,139.559630,0.729398,139.432568,0.316725,139.300336,0.964189,139.435844,0.307740
resampled_data_batch_13.npz,3,139.139919,1.881155,138.807475,2.097889,139.442585,0.487636,139.116398,0.326629,138.846218,1.903213,139.118616,0.326897
resampled_data_batch_14.npz,3,138.467753,1.717396,138.282628,1.956360,138.423706,0.318171,138.132494,0.303706,138.248902,1.677403,138.139722,0.295722
resampled_data_batch_15.npz,3,131.912549,0.827331,131.657976,1.461839,131.981857,0.412960,131.760315,0.387254,131.729554,0.669696,131.761356,0.382777
resampled_data_batch_16.npz,3,112.820155,1.000349,112.600248,0.850198,112.871069,0.739278,112.676518,0.671644,112.614188,0.887223,112.679618,0.674956
resampled_data_batch_17.npz,3,86.739605,1.038590,86.448622,1.323255,86.667805,0.717768,86.489736,0.738661,86.496040,0.812134,86.493751,0.737338
resampled_data_batch_18.npz,3,72.078844,0.278386,71.885865,0.367285,72.098277,0.312560,71.930127,0.245990,71.905557,0.261606,71.935560,0.241198
resampled_data_batch_19.npz,3,75.735529,0.483745,75.579002,0.511477,75.855861,0.435534,75.666389,0.438287,75.574849,0.499385,75.664191,0.441106
resampled_data_batch_20.npz,3,96.669460,1.038755,96.476207,1.034078,96.567381,1.074842,96.416535,1.047612,96.479486,1.038574,96.422111,1.052881
resampled_data_batch_21.npz,3,122.822168,0.848350,122.639257,0.843662,122.789852,0.870559,122.607165,0.882085,122.636633,0.842152,122.624228,0.884650
resampled_data_batch_22.npz,3,136.111672,0.359761,135.897656,0.393756,136.107062,0.375111,135.886199,0.392191,135.899618,0.384482,135.889729,0.384297
resampled_data_batch_23.npz,3,139.208946,0.247711,139.003563,0.311345,139.188259,0.247347,138.977503,0.292258,139.006947,0.300073,138.981757,0.282416
resampled_data_batch_24.npz,3,139.504314,0.258654,139.297655,0.320726,139.501195,0.249631,139.295031,0.323172,139.296728,0.309374,139.292777,0.307782
resampled_data_batch_25.npz,3,139.558259,1.252960,139.389276,1.440584,139.590737,0.418019,139.336584,0.328086,139.370641,1.240529,139.335505,0.319473
resampled_data_batch_26.npz,3,139.733502,0.400635,139.510931,0.394829,139.727721,0.380308,139.504654,0.363411,139.517002,0.401326,139.505420,0.362337
resampled_data_batch_27.npz,3,139.617486,0.254965,139.397111,0.302310,139.624187,0.254931,139.395486,0.300777,139.400113,0.292548,139.401189,0.290562
resampled_data_batch_28.npz,3,139.751942,0.258960,139.552379,0.314926,139.743467,0.257287,139.560494,0.295332,139.553536,0.302635,139.563416,0.282646
resampled_data_batch_29.npz,3,139.760826,0.239070,139.562540,0.279354,139.743536,0.236229,139.531385,0.267433,139.561896,0.271488,139.537077,0.263519
resampled_data_batch_30.npz,3,139.806440,1.120114,139.571052,1.002356,139.687144,0.315149,139.475579,0.335350,139.568071,1.003255,139.471442,0.333994
resampled_data_batch_31.npz,3,139.602302,0.738553,139.370287,1.091375,139.663512,0.286460,139.481726,0.357463,139.384850,0.924106,139.479590,0.347713
resampled_data_batch_32.npz,3,139.701419,0.267242,139.506155,0.325529,139.695781,0.267953,139.495792,0.325301,139.507281,0.314990,139.505335,0.315441
resampled_data_batch_33.npz,3,139.713620,0.224253,139.504542,0.274925,139.726461,0.216607,139.522178,0.263149,139.504072,0.265450,139.521889,0.253718
resampled_data_batch_34.npz,3,139.733152,0.641234,139.553587,0.916864,139.701492,0.419175,139.485434,0.323819,139.544414,0.776342,139.490975,0.316300
resampled_data_batch_35.npz,3,139.637993,0.285104,139.432799,0.339047,139.635646,0.291404,139.450116,0.342807,139.440299,0.335703,139.454502,0.341854
resampled_data_batch_36.npz,3,139.604622,0.254999,139.399634,0.315995,139.630027,0.261446,139.432959,0.331612,139.404307,0.305045,139.437118,0.319837
resampled_data_batch_37.npz,3,139.635654,1.021352,139.402025,1.029800,139.659536,0.640342,139.424160,0.339279,139.411459,0.975318,139.421348,0.325188
resampled_data_batch_38.npz,3,139.429113,0.968911,139.270119,0.914625,139.551898,0.306161,139.403928,0.356007,139.262820,0.958360,139.399535,0.349490
resampled_data_batch_39.npz,3,139.500667,0.259011,139.291893,0.306445,139.495891,0.254308,139.296436,0.300467,139.293117,0.297884,139.300883,0.293121
resampled_data_batch_40.npz,3,139.471639,1.355832,139.182786,1.610921,139.411411,0.306018,139.214856,0.374950,139.217464,1.451617,139.216844,0.360950
resampled_data_batch_41.npz,3,139.388997,0.540875,139.164110,0.371407,139.308941,0.352294,139.096058,0.341034,139.161174,0.356578,139.097431,0.336220
resampled_data_batch_42.npz,3,139.261446,0.280075,139.059672,0.323046,139.242260,0.264161,139.043877,0.312908,139.060823,0.314514,139.042275,0.303021
resampled_data_batch_43.npz,3,139.233582,1.014450,139.079885,1.298646,139.170542,0.502829,138.975873,0.335195,139.065200,1.087304,138.979490,0.327179
resampled_data_batch_44.npz,3,138.897119,0.346493,138.695077,0.330935,138.877863,0.291778,138.656459,0.332279,138.695234,0.323823,138.659714,0.325015
resampled_data_batch_45.npz,3,138.664029,0.261014,138.475413,0.306056,138.647504,0.276958,138.448955,0.323873,138.476724,0.296624,138.455183,0.314209
resampled_data_batch_46.npz,3,138.007461,0.497543,137.781999,0.809506,138.038184,0.270616,137.870871,0.304926,137.797610,0.627985,137.868483,0.295538
resampled_data_batch_47.npz,3,136.025698,0.360116,135.818208,0.393199,135.972168,0.360986,135.752059,0.380675,135.823517,0.384868,135.758139,0.365783
resampled_data_batch_48.npz,3,121.858997,1.994130,121.693942,1.966298,122.124081,1.991765,121.939310,1.961627,121.693056,1.967343,121.969108,1.960948
resampled_data_batch_49.npz,3,69.024708,3.739547,68.878444,3.758894,69.195226,3.136170,69.216307,3.214519,68.879152,3.758467,69.217143,3.208389
resampled_data_batch_54.npz,3,66.214743,3.812872,66.055124,3.824777,68.172584,1.956053,67.947359,1.887629,66.054917,3.833383,67.945887,1.890906
resampled_data_batch_55.npz,3,120.811952,2.472188,120.598382,2.425506,120.722346,2.411203,120.556581,2.382496,120.601270,2.429617,120.560328,2.383791
resampled_data_batch_56.npz,3,136.040494,0.402566,135.858298,0.466467,136.022031,0.386677,135.817820,0.409694,135.843671,0.430835,135.815570,0.400164
resampled_data_batch_57.npz,3,138.076068,0.259047,137.879113,0.311527,138.074058,0.259139,137.875648,0.325448,137.880279,0.303520,137.873175,0.314868
resampled_data_batch_58.npz,3,138.645049,0.325819,138.444869,0.341386,138.655213,0.339221,138.455600,0.339938,138.442877,0.336370,138.450487,0.331867
resampled_data_batch_59.npz,3,139.008309,0.237586,138.805498,0.298535,139.009034,0.255685,138.791749,0.315252,138.808014,0.288208,138.793709,0.304851
resampled_data_batch_60.npz,3,139.269836,0.928188,138.994954,0.540112,139.164553,0.300741,138.962073,0.357592,138.988150,0.439038,138.966239,0.351526
resampled_data_batch_61.npz,3,139.365980,0.274445,139.193181,0.328866,139.379950,0.268009,139.214762,0.311454,139.192471,0.315098,139.216809,0.299186
resampled_data_batch_62.npz,3,139.450255,0.960013,139.234027,0.520139,139.457026,0.288893,139.246937,0.329280,139.228750,0.416660,139.250439,0.323459
resampled_data_batch_63.npz,3,139.468485,0.505575,139.281176,0.590016,139.518680,0.265611,139.352201,0.338681,139.278001,0.585456,139.347254,0.326059
resampled_data_batch_64.npz,3,139.607802,1.070219,139.422681,1.186940,139.479420,0.311427,139.321966,0.327204,139.404344,1.002506,139.317590,0.327162
resampled_data_batch_65.npz,3,139.579832,0.267326,139.376317,0.311759,139.569395,0.269577,139.361898,0.296147,139.373898,0.300530,139.359903,0.284168
resampled_data_batch_66.npz,3,139.635115,0.568073,139.456012,0.745728,139.649309,0.432931,139.416170,0.290695,139.445464,0.603586,139.418739,0.277311
resampled_data_batch_67.npz,3,139.599837,1.023798,139.410258,1.014078,139.714555,0.303954,139.526562,0.350046,139.414453,1.017154,139.528788,0.343883
resampled_data_batch_68.npz,3,139.684162,0.433611,139.555754,1.294405,139.656825,0.236548,139.460680,0.304016,139.506901,0.712938,139.466639,0.287606
resampled_data_batch_69.npz,3,139.690910,0.300255,139.519882,0.349512,139.704389,0.298272,139.532191,0.339194,139.514376,0.348275,139.528496,0.335444
resampled_data_batch_70.npz,3,139.746329,0.228486,139.554915,0.293000,139.756995,0.231686,139.579636,0.303555,139.556910,0.279377,139.580017,0.290280
resampled_data_batch_71.npz,3,139.725628,0.476207,139.542479,0.609956,139.682488,0.299174,139.492798,0.330695,139.543626,0.574692,139.494295,0.324078
resampled_data_batch_72.npz,3,139.751570,0.281643,139.559980,0.355480,139.760459,0.280343,139.578491,0.345941,139.561349,0.344271,139.576956,0.334311
resampled_data_batch_73.npz,3,139.657248,0.986023,139.386829,1.676195,139.743561,0.231136,139.536159,0.278669,139.422563,1.296325,139.536267,0.276362
resampled_data_batch_74.npz,3,139.767634,0.271641,139.573018,0.335497,139.753032,0.247856,139.556909,0.292342,139.576183,0.324754,139.563265,0.277355
resampled_data_batch_75.npz,3,139.700348,0.652152,139.534780,0.529807,139.705365,0.399213,139.542505,0.336839,139.526044,0.487979,139.545125,0.332380
resampled_data_batch_76.npz,3,139.744831,0.239333,139.549630,0.299141,139.745729,0.238487,139.566581,0.309500,139.547710,0.292001,139.556420,0.305797
resampled_data_batch_77.npz,3,139.674157,0.977736,139.509665,0.931850,139.819055,0.390727,139.629470,0.308541,139.515694,0.915496,139.631403,0.301211
resampled_data_batch_78.npz,3,139.783167,0.241048,139.588856,0.311095,139.798967,0.209238,139.618413,0.276485,139.590677,0.298939,139.620645,0.265560
resampled_data_batch_79.npz,3,139.823129,0.861445,139.636366,0.610465,139.785771,0.257297,139.581499,0.303641,139.639163,0.643149,139.579298,0.292805
resampled_data_batch_80.npz,3,139.849964,0.515620,139.630864,0.505780,139.815529,0.275614,139.571395,0.333924,139.636457,0.533494,139.573120,0.328372
resampled_data_batch_81.npz,3,139.872136,0.515211,139.645390,0.338775,139.854342,0.259583,139.656465,0.311197,139.641443,0.314228,139.656684,0.307009
resampled_data_batch_82.npz,3,139.818710,0.592805,139.657136,0.316278,139.754205,0.776275,139.644219,0.272055,139.660867,0.285594,139.644753,0.258505
resampled_data_batch_83.npz,3,139.899602,1.049106,139.717907,1.378249,139.840456,0.265742,139.670769,0.295677,139.700470,1.140723,139.673503,0.289855
resampled_data_batch_84.npz,3,139.724558,0.716296,139.504649,0.779716,139.761057,0.265484,139.550136,0.298963,139.513716,0.747489,139.556616,0.283104
