filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
processed_data_batch_100.npz,4000,142.411920,1.562137,142.470998,0.844165,142.517498,0.461497,142.522651,0.486178
processed_data_batch_101.npz,4000,142.611578,1.286466,142.616849,0.990872,142.645108,0.379327,142.643601,0.504747
processed_data_batch_1.npz,6000,142.399323,0.316620,142.369149,0.370521,142.369092,0.317736,142.337043,0.355667
processed_data_batch_2.npz,6000,142.567318,0.211464,142.532097,0.306197,142.560062,0.227560,142.516112,0.299711
processed_data_batch_3.npz,6000,142.509492,0.242399,142.453327,0.344625,142.520489,0.249316,142.488162,0.329207
processed_data_batch_4.npz,6000,142.368685,0.300492,142.309734,0.354638,142.395917,0.291805,142.346500,0.351512
processed_data_batch_5.npz,6000,142.419954,0.203892,142.366202,0.302446,142.417532,0.186939,142.360786,0.283949
processed_data_batch_6.npz,6000,142.355585,0.269058,142.310663,0.372793,142.330569,0.258476,142.268133,0.362368
processed_data_batch_7.npz,6000,142.527614,0.226338,142.462778,0.309894,142.538448,0.218359,142.456829,0.294149
processed_data_batch_8.npz,6000,142.346637,0.292405,142.321192,0.394524,142.342253,0.272528,142.330428,0.370251
processed_data_batch_9.npz,6000,142.421122,1.441128,142.512620,2.645732,142.230611,0.392993,142.242578,0.400775
processed_data_batch_10.npz,6000,142.152199,1.865027,141.948352,2.684169,142.362470,0.316781,142.304964,0.352853
processed_data_batch_11.npz,6000,142.444138,0.223682,142.401358,0.321686,142.430083,0.221941,142.362589,0.330910
processed_data_batch_12.npz,6000,142.554646,0.236556,142.539799,0.314505,142.545287,0.249902,142.535686,0.346320
processed_data_batch_13.npz,6000,142.394591,0.264362,142.352115,0.358357,142.383183,0.275930,142.359811,0.362265
processed_data_batch_14.npz,6000,142.391601,0.316068,142.340259,0.390165,142.366765,0.317413,142.331372,0.372238
processed_data_batch_15.npz,6000,142.489952,0.277768,142.480297,0.360279,142.522590,0.277751,142.511941,0.356845
processed_data_batch_16.npz,6000,142.284432,0.284536,142.239242,0.380473,142.277978,0.261372,142.227134,0.351630
processed_data_batch_17.npz,6000,142.377993,0.298281,142.339563,0.372363,142.373881,0.287774,142.341239,0.357683
processed_data_batch_18.npz,6000,142.442387,0.300874,142.400149,0.395029,142.437946,0.314827,142.406489,0.402136
processed_data_batch_19.npz,6000,142.441046,0.268362,142.402835,0.368154,142.430492,0.257559,142.412708,0.340056
processed_data_batch_20.npz,6000,142.465081,0.255558,142.403940,0.332565,142.437378,0.273681,142.371588,0.337633
processed_data_batch_21.npz,6000,142.538735,0.251847,142.493026,0.351565,142.534299,0.253284,142.481274,0.339747
processed_data_batch_22.npz,6000,142.354864,1.528234,142.404175,1.034950,142.488089,0.301633,142.464416,0.348540
processed_data_batch_23.npz,6000,142.370315,1.289751,142.407782,1.435133,142.395287,0.327055,142.343879,0.411332
processed_data_batch_24.npz,6000,142.352903,0.329072,142.322484,0.390089,142.344717,0.334244,142.304420,0.395585
processed_data_batch_25.npz,6000,142.419208,0.277101,142.380767,0.355171,142.443268,0.275314,142.420214,0.349484
processed_data_batch_26.npz,6000,142.460699,0.278419,142.430341,0.371777,142.463368,0.287035,142.429876,0.370298
processed_data_batch_27.npz,6000,142.455154,0.290859,142.413023,0.389159,142.434522,0.297689,142.389581,0.402740
processed_data_batch_28.npz,6000,142.391857,0.219840,142.356890,0.300357,142.367102,0.215466,142.319815,0.270940
processed_data_batch_29.npz,6000,142.404259,0.505963,142.340335,0.389796,142.446830,0.266271,142.384498,0.316837
processed_data_batch_30.npz,6000,142.402251,0.570740,142.347064,0.561389,142.407795,0.328809,142.343468,0.389054
processed_data_batch_31.npz,6000,142.429408,0.286446,142.393695,0.362122,142.423817,0.288287,142.394263,0.357224
processed_data_batch_32.npz,6000,142.426266,0.309252,142.405709,0.411458,142.425394,0.319929,142.421863,0.405944
processed_data_batch_33.npz,6000,142.463750,0.379112,142.442219,0.370947,142.489209,0.267702,142.465417,0.302733
processed_data_batch_34.npz,6000,142.372326,0.481500,142.329250,0.476132,142.419207,0.370246,142.414343,0.406623
processed_data_batch_35.npz,6000,142.399156,0.281306,142.367280,0.360046,142.355140,0.307639,142.317045,0.391045
processed_data_batch_36.npz,6000,142.356579,0.277032,142.300091,0.371109,142.374275,0.260275,142.335468,0.352591
processed_data_batch_37.npz,6000,142.582382,1.849823,142.624938,2.089070,142.516465,1.239890,142.379101,0.402235
processed_data_batch_38.npz,6000,142.429799,0.532025,142.333359,0.386986,142.386590,0.293063,142.342393,0.379766
processed_data_batch_39.npz,6000,142.414862,0.307154,142.348047,0.387075,142.428860,0.300644,142.358845,0.366160
processed_data_batch_40.npz,6000,142.359147,1.117171,142.352738,0.680794,142.429847,0.400513,142.403024,0.369915
processed_data_batch_41.npz,6000,142.435336,0.459612,142.395573,0.397015,142.424951,0.344008,142.386339,0.346249
processed_data_batch_42.npz,6000,142.450979,0.276488,142.413566,0.367811,142.450018,0.252683,142.401018,0.341682
processed_data_batch_43.npz,6000,142.531297,0.649314,142.502596,0.965606,142.502133,0.347182,142.456104,0.385996
processed_data_batch_44.npz,6000,142.337085,1.606079,142.344613,1.179396,142.489042,0.374700,142.485611,0.391211
processed_data_batch_45.npz,6000,142.439813,0.293237,142.397121,0.375664,142.481954,0.313624,142.450853,0.379482
processed_data_batch_46.npz,6000,142.299623,1.127709,142.265862,1.059016,142.399852,0.267532,142.344450,0.347656
processed_data_batch_47.npz,6000,142.193666,0.416722,142.174837,0.373329,142.178301,0.278466,142.172095,0.355541
processed_data_batch_48.npz,6000,140.357932,0.346324,140.304667,0.410369,140.360707,0.386983,140.290129,0.439695
processed_data_batch_49.npz,6000,134.911661,1.267597,134.898259,0.688907,134.881419,0.554100,134.851340,0.588811
